,noise_level,distance,method,run
0,2,6.4886830484869735,MAPMLAT,0
1,2,6.365508694993786,MAPMLAT,1
2,2,6.4746321191407965,MAPMLAT,2
3,2,6.4278637923726425,MAPMLAT,3
4,2,6.460166783749813,MAPMLAT,4
5,2,6.307111247334816,MAPMLAT,5
6,2,6.353403049970376,MAPMLAT,6
7,2,6.4607669082381785,MAPMLAT,7
8,2,6.415721628514488,MAPMLAT,8
9,2,6.4080748959075455,MAPMLAT,9
10,2,6.367922902180869,MAPMLAT,10
11,2,6.444965459885345,MAPMLAT,11
12,2,6.4328449194428545,MAPMLAT,12
13,2,6.500926160666165,MAPMLAT,13
14,2,6.406730067204309,MAPMLAT,14
15,2,6.338040582213492,MAPMLAT,15
16,2,6.457482467134077,MAPMLAT,16
17,2,6.366720536833984,MAPMLAT,17
18,2,6.4582311643460715,MAPMLAT,18
19,2,6.34936240122783,MAPMLAT,19
20,2,6.37912846754773,MAPMLAT,20
21,2,6.448387844634349,MAPMLAT,21
22,2,6.481880562406705,MAPMLAT,22
23,2,6.431970198446911,MAPMLAT,23
24,2,6.378348681391734,MAPMLAT,24
25,2,6.440173550180179,MAPMLAT,25
26,2,6.404123645214459,MAPMLAT,26
27,2,6.378325481643336,MAPMLAT,27
28,2,6.399282948461066,MAPMLAT,28
29,2,6.356405046035857,MAPMLAT,29
30,3,6.424352398019968,MAPMLAT,0
31,3,6.47736447675274,MAPMLAT,1
32,3,6.496118514876452,MAPMLAT,2
33,3,6.448204982708409,MAPMLAT,3
34,3,6.473340526630058,MAPMLAT,4
35,3,6.377700820542827,MAPMLAT,5
36,3,6.391831686081388,MAPMLAT,6
37,3,6.397354101803207,MAPMLAT,7
38,3,6.489475789769661,MAPMLAT,8
39,3,6.571964607358268,MAPMLAT,9
40,3,6.488995370833467,MAPMLAT,10
41,3,6.4275156544498895,MAPMLAT,11
42,3,6.395852634871346,MAPMLAT,12
43,3,6.333172681659734,MAPMLAT,13
44,3,6.462154313583641,MAPMLAT,14
45,3,6.488192536262797,MAPMLAT,15
46,3,6.364263914735719,MAPMLAT,16
47,3,6.354530216289511,MAPMLAT,17
48,3,6.546161489789427,MAPMLAT,18
49,3,6.599468432815784,MAPMLAT,19
50,3,6.419417116560884,MAPMLAT,20
51,3,6.465684820841831,MAPMLAT,21
52,3,6.646069425322695,MAPMLAT,22
53,3,6.567179497773826,MAPMLAT,23
54,3,6.528100767158368,MAPMLAT,24
55,3,6.638114768434483,MAPMLAT,25
56,3,6.549915950667118,MAPMLAT,26
57,3,6.363010963155975,MAPMLAT,27
58,3,6.505057331515221,MAPMLAT,28
59,3,6.474206916000642,MAPMLAT,29
60,4,6.358463608957684,MAPMLAT,0
61,4,6.698177102797584,MAPMLAT,1
62,4,6.556974565352244,MAPMLAT,2
63,4,6.4668121417832465,MAPMLAT,3
64,4,6.387909293981434,MAPMLAT,4
65,4,6.4706241382917025,MAPMLAT,5
66,4,6.72957766024771,MAPMLAT,6
67,4,6.6064813423223985,MAPMLAT,7
68,4,6.405905763805741,MAPMLAT,8
69,4,6.52615950465194,MAPMLAT,9
70,4,6.6078925272775155,MAPMLAT,10
71,4,6.790684700785152,MAPMLAT,11
72,4,6.580808682090939,MAPMLAT,12
73,4,6.54447123435758,MAPMLAT,13
74,4,6.507998797751351,MAPMLAT,14
75,4,6.636136619327562,MAPMLAT,15
76,4,6.4900221400905505,MAPMLAT,16
77,4,6.708945369409219,MAPMLAT,17
78,4,6.56473936852133,MAPMLAT,18
79,4,6.642069260525899,MAPMLAT,19
80,4,6.718771496318199,MAPMLAT,20
81,4,6.414480451354293,MAPMLAT,21
82,4,6.495203374531772,MAPMLAT,22
83,4,6.452952589196047,MAPMLAT,23
84,4,6.48617099577802,MAPMLAT,24
85,4,6.46355518576023,MAPMLAT,25
86,4,6.50176066033481,MAPMLAT,26
87,4,6.77488592718654,MAPMLAT,27
88,4,6.51623329375728,MAPMLAT,28
89,4,6.452116033445531,MAPMLAT,29
90,5,6.498406991807318,MAPMLAT,0
91,5,6.471834539731559,MAPMLAT,1
92,5,6.609660243062704,MAPMLAT,2
93,5,6.398110485369676,MAPMLAT,3
94,5,6.5868476062011,MAPMLAT,4
95,5,6.368978110758666,MAPMLAT,5
96,5,6.579187722774245,MAPMLAT,6
97,5,6.750132293814906,MAPMLAT,7
98,5,6.670083148233052,MAPMLAT,8
99,5,6.5242843833277515,MAPMLAT,9
100,5,6.613817442024855,MAPMLAT,10
101,5,6.406912320868465,MAPMLAT,11
102,5,6.536612107873224,MAPMLAT,12
103,5,6.468051137708475,MAPMLAT,13
104,5,6.582227679195276,MAPMLAT,14
105,5,6.486437724087719,MAPMLAT,15
106,5,6.575513472652544,MAPMLAT,16
107,5,6.480708946225072,MAPMLAT,17
