,noise_level,distance,method,run
0,2,5.792991893286002,MAPMLAT,0
1,2,5.702147122122733,MAPMLAT,1
2,2,5.745785124180839,MAPMLAT,2
3,2,5.77693159898954,MAPMLAT,3
4,2,5.673438945660703,MAPMLAT,4
5,2,5.744443872136208,MAPMLAT,5
6,2,5.7465079769071865,MAPMLAT,6
7,2,5.739121860177081,MAPMLAT,7
8,2,5.771913543602122,MAPMLAT,8
9,2,5.698788708027548,MAPMLAT,9
10,2,5.7270001411102625,MAPMLAT,10
11,2,5.767561728733967,MAPMLAT,11
12,2,5.8119270148970825,MAPMLAT,12
13,2,5.879284097464629,MAPMLAT,13
14,2,5.819135049214842,MAPMLAT,14
15,2,5.787073248544339,MAPMLAT,15
16,2,5.761173718258529,MAPMLAT,16
17,2,5.751362137938057,MAPMLAT,17
18,2,5.734779327234413,MAPMLAT,18
19,2,5.748773013659148,MAPMLAT,19
20,2,5.649976282265632,MAPMLAT,20
21,2,5.730803140492363,MAPMLAT,21
22,2,5.728964810457905,MAPMLAT,22
23,2,5.749476317998502,MAPMLAT,23
24,2,5.706860492071461,MAPMLAT,24
25,2,5.759473189251521,MAPMLAT,25
26,2,5.8050089830589755,MAPMLAT,26
27,2,5.714020645672073,MAPMLAT,27
28,2,5.849426469453113,MAPMLAT,28
29,2,5.753407360005775,MAPMLAT,29
30,3,5.963301794144606,MAPMLAT,0
31,3,5.884627017238686,MAPMLAT,1
32,3,5.892672426059372,MAPMLAT,2
33,3,5.831313402675708,MAPMLAT,3
34,3,5.827861909223161,MAPMLAT,4
35,3,5.935449291759963,MAPMLAT,5
36,3,5.951361216191677,MAPMLAT,6
37,3,5.994920398411282,MAPMLAT,7
38,3,5.884325788690396,MAPMLAT,8
39,3,5.977544360475904,MAPMLAT,9
40,3,5.842609752776906,MAPMLAT,10
41,3,5.928964051647744,MAPMLAT,11
42,3,5.8956185016516365,MAPMLAT,12
43,3,5.884164414892793,MAPMLAT,13
44,3,5.971952926053122,MAPMLAT,14
45,3,5.982393637642267,MAPMLAT,15
46,3,5.864258470189591,MAPMLAT,16
47,3,5.908841993712525,MAPMLAT,17
48,3,5.921141823669349,MAPMLAT,18
49,3,5.905309745927417,MAPMLAT,19
50,3,5.906727614744549,MAPMLAT,20
51,3,6.035662067360978,MAPMLAT,21
52,3,5.970372726893632,MAPMLAT,22
53,3,5.797105687848361,MAPMLAT,23
54,3,5.9055480743983,MAPMLAT,24
55,3,5.808522732637038,MAPMLAT,25
56,3,5.948456642884427,MAPMLAT,26
57,3,5.906937800276093,MAPMLAT,27
58,3,5.994335529874501,MAPMLAT,28
59,3,5.940347214974718,MAPMLAT,29
60,4,6.116601388869112,MAPMLAT,0
61,4,6.011795923585274,MAPMLAT,1
62,4,6.003015059042876,MAPMLAT,2
63,4,6.2352402054674325,MAPMLAT,3
64,4,6.005032940007971,MAPMLAT,4
65,4,6.288181705279829,MAPMLAT,5
66,4,6.2173663889204205,MAPMLAT,6
67,4,6.061100239569464,MAPMLAT,7
68,4,6.32910004689288,MAPMLAT,8
69,4,6.1308898334321125,MAPMLAT,9
70,4,6.101267278358682,MAPMLAT,10
71,4,5.95693796581001,MAPMLAT,11
72,4,5.979339486169726,MAPMLAT,12
73,4,5.968583024232076,MAPMLAT,13
74,4,6.137870634675816,MAPMLAT,14
75,4,6.08147415237963,MAPMLAT,15
76,4,6.216468650147972,MAPMLAT,16
77,4,6.031970799578735,MAPMLAT,17
78,4,6.053156560707597,MAPMLAT,18
79,4,5.994130397854498,MAPMLAT,19
80,4,6.143581160109629,MAPMLAT,20
81,4,6.122231784057401,MAPMLAT,21
82,4,6.046237317085782,MAPMLAT,22
83,4,6.011011387384263,MAPMLAT,23
84,4,6.09168652022836,MAPMLAT,24
85,4,6.036008719350777,MAPMLAT,25
86,4,5.90799188179038,MAPMLAT,26
87,4,5.976707552948015,MAPMLAT,27
88,4,5.931480946254315,MAPMLAT,28
89,4,6.166841888220614,MAPMLAT,29
90,5,6.256626751180658,MAPMLAT,0
91,5,6.491508147035689,MAPMLAT,1
92,5,6.442593850316202,MAPMLAT,2
93,5,6.331764912597855,MAPMLAT,3
94,5,6.252000249397867,MAPMLAT,4
95,5,6.399242421580402,MAPMLAT,5
96,5,6.234912926755789,MAPMLAT,6
97,5,6.317420815502172,MAPMLAT,7
98,5,6.307367247859214,MAPMLAT,8
99,5,6.346795661243611,MAPMLAT,9
100,5,6.21864887921379,MAPMLAT,10
101,5,6.458180979346297,MAPMLAT,11
102,5,6.389982610800896,MAPMLAT,12
103,5,6.305031704845039,MAPMLAT,13
104,5,6.120189798722912,MAPMLAT,14
105,5,6.136173098420988,MAPMLAT,15
106,5,6.270569972144604,MAPMLAT,16
107,5,6.183699299130093,MAPMLAT,17
108,5,6.129484221222631,MAPMLAT,18
109,5,6.290609954060939,MAPMLAT,19
110,5,6.3450073700458125,MAPMLAT,20
111,5,6.1505362414920866,MAPMLAT,21
112,5,6.323612750971704,MAPMLAT,22
113,5,6.292920763691106,MAPMLAT,23
114,5,6.309784272976594,MAPMLAT,24
115,5,6.2578751556819325,MAPMLAT,25
116,5,6.2076200035184605,MAPMLAT,26
117,5,6.422578911624269,MAPMLAT,27
118,5,6.271518123211632,MAPMLAT,28
119,5,6.321151683837097,MAPMLAT,29
120,6,6.420450101275691,MAPMLAT,0
121,6,6.405473573216455,MAPMLAT,1
122,6,6.429471377100681,MAPMLAT,2
123,6,6.587722127970157,MAPMLAT,3
124,6,6.377993274609022,MAPMLAT,4
125,6,6.273634277363699,MAPMLAT,5
126,6,6.287955419615448,MAPMLAT,6
127,6,6.66710540220527,MAPMLAT,7
128,6,6.423414671663537,MAPMLAT,8
129,6,6.256516602969057,MAPMLAT,9
130,6,6.496770306543172,MAPMLAT,10
131,6,6.51233713790569,MAPMLAT,11
132,6,6.8106940346828395,MAPMLAT,12
133,6,6.651040820605982,MAPMLAT,13
134,6,6.578948770431794,MAPMLAT,14
135,6,6.795415998569331,MAPMLAT,15
136,6,6.582782073682583,MAPMLAT,16
137,6,6.4766173626723464,MAPMLAT,17
138,6,6.321586402668517,MAPMLAT,18
139,6,6.346415073464372,MAPMLAT,19
140,6,6.474742637678013,MAPMLAT,20
141,6,6.128418260068429,MAPMLAT,21
142,6,6.392397102406751,MAPMLAT,22
143,6,6.6409658484408824,MAPMLAT,23
144,6,6.339836242443292,MAPMLAT,24
145,6,6.520120592867939,MAPMLAT,25
146,6,6.747667096863184,MAPMLAT,26
147,6,6.564784597003444,MAPMLAT,27
148,6,6.390544902644602,MAPMLAT,28
149,6,6.258190692430288,MAPMLAT,29
150,7,6.487043297017611,MAPMLAT,0
151,7,6.64457493226315,MAPMLAT,1
152,7,6.516461632619469,MAPMLAT,2
153,7,6.432788550886287,MAPMLAT,3
154,7,6.5834639232745396,MAPMLAT,4
155,7,6.366449751733866,MAPMLAT,5
156,7,6.574952852068044,MAPMLAT,6
