Unnamed: 0,noise_level,distance,method,run
0,2,0.5637426493968122,pmlat,0
1,2,0.5394128750803991,pmlat,1
2,2,0.5185835899652863,pmlat,2
3,2,0.4837184127740349,pmlat,3
4,2,0.6014086228908506,pmlat,4
5,2,0.5107562554480192,pmlat,5
6,2,0.5075214760263316,pmlat,6
7,2,0.5073328169789456,pmlat,7
8,2,0.5198056457012933,pmlat,8
9,2,0.5283230842357121,pmlat,9
10,2,0.535913882301662,pmlat,10
11,2,0.5034898583157698,pmlat,11
12,2,0.4720458186265132,pmlat,12
13,2,0.5417480854050329,pmlat,13
14,2,0.5383520482544893,pmlat,14
15,2,0.5373796475705398,pmlat,15
16,2,0.4596036203477162,pmlat,16
17,2,0.483629247645668,pmlat,17
18,2,0.4675109135789875,pmlat,18
19,2,0.5122236705349748,pmlat,19
20,2,0.5428004280543416,pmlat,20
21,2,0.5370800753104382,pmlat,21
22,2,0.5100876025760864,pmlat,22
23,2,0.5782397028278258,pmlat,23
24,2,0.5144586298570135,pmlat,24
25,2,0.5502237071041333,pmlat,25
26,2,0.5459384474681526,pmlat,26
27,2,0.5172338792220816,pmlat,27
28,2,0.5445588103169501,pmlat,28
29,2,0.5730316416696366,pmlat,29
30,3,0.6017590458373762,pmlat,0
31,3,0.6625633313058102,pmlat,1
32,3,0.5047948947793656,pmlat,2
33,3,0.6780743824412829,pmlat,3
34,3,0.608754030430699,pmlat,4
35,3,0.557634738655195,pmlat,5
36,3,0.5370663502718129,pmlat,6
37,3,0.5341634225008707,pmlat,7
38,3,0.4616568057248953,pmlat,8
39,3,0.6167022428605758,pmlat,9
40,3,0.6646094760361394,pmlat,10
41,3,0.5059443943584965,pmlat,11
42,3,0.5678526475015137,pmlat,12
43,3,0.5935051113602204,pmlat,13
44,3,0.5768892759887739,pmlat,14
45,3,0.5985062313389662,pmlat,15
46,3,0.5639221384624574,pmlat,16
47,3,0.5017524046842519,pmlat,17
48,3,0.4852578938880736,pmlat,18
49,3,0.5479335245303086,pmlat,19
50,3,0.5254280025788748,pmlat,20
51,3,0.6384869366222675,pmlat,21
52,3,0.6434198914113439,pmlat,22
53,3,0.606300046758524,pmlat,23
54,3,0.5099050818333312,pmlat,24
55,3,0.5836361260832945,pmlat,25
56,3,0.5175821260577494,pmlat,26
57,3,0.5342992732655227,pmlat,27
58,3,0.498343654275586,pmlat,28
59,3,0.5666420765301129,pmlat,29
60,4,0.6131589179329732,pmlat,0
61,4,0.6052533180114541,pmlat,1
62,4,0.4906354223067767,pmlat,2
63,4,0.6007558364903246,pmlat,3
64,4,0.554373610427779,pmlat,4
65,4,0.6669006462934478,pmlat,5
66,4,0.6970153026834863,pmlat,6
67,4,0.7414490067380616,pmlat,7
68,4,0.5868870206176082,pmlat,8
69,4,0.4833799880240949,pmlat,9
70,4,0.4450266283619694,pmlat,10
71,4,0.6338796518400373,pmlat,11
72,4,0.5009412412800875,pmlat,12
73,4,0.6787705613587289,pmlat,13
74,4,0.724816020743512,pmlat,14
75,4,0.3641617886550205,pmlat,15
76,4,0.4519592833514383,pmlat,16
77,4,0.5899004323700389,pmlat,17
78,4,0.5610388888070482,pmlat,18
79,4,0.5860825010155746,pmlat,19
80,4,0.4568875651210501,pmlat,20
81,4,0.5725307333491105,pmlat,21
82,4,0.5343392109966181,pmlat,22
83,4,0.588852806210596,pmlat,23
84,4,0.4555518435325359,pmlat,24
85,4,0.6318352155468269,pmlat,25
86,4,0.4994796441741017,pmlat,26
87,4,0.5443612588361153,pmlat,27
88,4,0.6003885516619212,pmlat,28
89,4,0.5021502969571165,pmlat,29
90,5,0.5994265013674905,pmlat,0
91,5,0.6253934273919511,pmlat,1
92,5,0.7187744618240179,pmlat,2
93,5,0.6518473173915341,pmlat,3
94,5,0.5923845129310922,pmlat,4
95,5,0.7363780105594946,pmlat,5
96,5,0.7060758218944272,pmlat,6
97,5,0.5399732050613888,pmlat,7
98,5,0.7046061785995651,pmlat,8
99,5,0.592884022820421,pmlat,9
100,5,0.5990647959229828,pmlat,10
101,5,0.6386796572182069,pmlat,11
102,5,0.6722163713765332,pmlat,12
103,5,0.5358084948869171,pmlat,13
104,5,0.6807423480058171,pmlat,14
105,5,0.6335713977100772,pmlat,15
106,5,0.5184896496031652,pmlat,16
107,5,0.6558180080670264,pmlat,17
108,5,0.5591642149591755,pmlat,18
109,5,0.6925739650859424,pmlat,19
110,5,0.784480674348343,pmlat,20
111,5,0.6980792974170039,pmlat,21
112,5,0.5733607428446763,pmlat,22
113,5,0.5405496491154742,pmlat,23
114,5,0.5887907212086437,pmlat,24
115,5,0.5991776868687696,pmlat,25
116,5,0.6329146277626093,pmlat,26
117,5,0.534077560148598,pmlat,27
118,5,0.6599302013027413,pmlat,28
119,5,0.7275237164712712,pmlat,29
120,6,0.6856797969565662,pmlat,0
121,6,0.6819535066369711,pmlat,1
122,6,0.7661438012728097,pmlat,2
123,6,0.7955401567827775,pmlat,3
124,6,0.7264281822256965,pmlat,4
125,6,0.9214927871663288,pmlat,5
126,6,0.7652268483702416,pmlat,6
127,6,0.5263492150585752,pmlat,7
128,6,0.4870605027751775,pmlat,8
129,6,0.629171001507262,pmlat,9
130,6,0.7179469990662164,pmlat,10
131,6,0.8761906520564446,pmlat,11
132,6,0.7003504873834415,pmlat,12
133,6,0.5856774824371063,pmlat,13
134,6,0.6800051839958815,pmlat,14
135,6,0.486809101403792,pmlat,15
136,6,0.6022346896883648,pmlat,16
137,6,0.7985615475347203,pmlat,17
138,6,0.5564486664204534,pmlat,18
139,6,0.7828352133159135,pmlat,19
140,6,0.7643183432223618,pmlat,20
141,6,0.6506015590905022,pmlat,21
142,6,0.6500047112532145,pmlat,22
143,6,0.5855027840586925,pmlat,23
144,6,0.603097091645805,pmlat,24
145,6,0.6037093885309361,pmlat,25
146,6,0.6443952480745145,pmlat,26
147,6,0.6188545975253523,pmlat,27
148,6,0.6398382429109344,pmlat,28
149,6,0.6055740362752259,pmlat,29
150,7,0.6694536683350417,pmlat,0
151,7,0.5084528654881839,pmlat,1
152,7,0.7467172185331882,pmlat,2
153,7,0.9540220001441158,pmlat,3
154,7,1.0360416925586566,pmlat,4
155,7,0.8010483619348971,pmlat,5
156,7,0.587101003444412,pmlat,6
157,7,0.7002982323621564,pmlat,7
158,7,0.8097319677679465,pmlat,8
159,7,0.8038901131350182,pmlat,9
160,7,0.7892918534683582,pmlat,10
161,7,0.8029714509671921,pmlat,11
162,7,0.503575556495513,pmlat,12
