,noise_level,distance,method,run
0,2,0.1360326429014251,MAPMLAT,0
1,2,0.15088163243240027,MAPMLAT,1
2,2,0.11615188412455464,MAPMLAT,2
3,2,0.14688104346688058,MAPMLAT,3
4,2,0.16030339188363868,MAPMLAT,4
5,2,0.12115936356804553,MAPMLAT,5
6,2,0.12267557818681779,MAPMLAT,6
7,2,0.12892389294477513,MAPMLAT,7
8,2,0.16392516992383635,MAPMLAT,8
9,2,0.13975637535363727,MAPMLAT,9
10,2,0.13022110623831007,MAPMLAT,10
11,2,0.129823905171375,MAPMLAT,11
12,2,0.11509738129692694,MAPMLAT,12
13,2,0.14958516930373533,MAPMLAT,13
14,2,0.16903351776945447,MAPMLAT,14
15,2,0.10537516093048252,MAPMLAT,15
16,2,0.08314212036789453,MAPMLAT,16
17,2,0.1632260402080399,MAPMLAT,17
18,2,0.14347129391331429,MAPMLAT,18
19,2,0.10522204135136383,MAPMLAT,19
20,2,0.14746816083518816,MAPMLAT,20
21,2,0.12565260647752932,MAPMLAT,21
22,2,0.10558126167046716,MAPMLAT,22
23,2,0.13171240842017573,MAPMLAT,23
24,2,0.15233474534880287,MAPMLAT,24
25,2,0.135928634361105,MAPMLAT,25
26,2,0.14497147051197845,MAPMLAT,26
27,2,0.12172549223234004,MAPMLAT,27
28,2,0.14145105023624838,MAPMLAT,28
29,2,0.14097765592329461,MAPMLAT,29
30,3,0.07843688297191302,MAPMLAT,0
31,3,0.18650348964423227,MAPMLAT,1
32,3,0.1417077873490815,MAPMLAT,2
33,3,0.17013672139287422,MAPMLAT,3
34,3,0.1728096320932536,MAPMLAT,4
35,3,0.12230674816929578,MAPMLAT,5
36,3,0.18990089449634814,MAPMLAT,6
37,3,0.1270050300711034,MAPMLAT,7
38,3,0.24258712113138675,MAPMLAT,8
39,3,0.12198372985282892,MAPMLAT,9
40,3,0.1832256536249128,MAPMLAT,10
41,3,0.10203030770178881,MAPMLAT,11
42,3,0.14819722964030735,MAPMLAT,12
43,3,0.16449407856697096,MAPMLAT,13
44,3,0.19074006912559205,MAPMLAT,14
45,3,0.10646845082761054,MAPMLAT,15
