,noise_level,distance,method,run
0,2,1.8335353625617496,pmlat,0
1,2,2.4232916463176277,lin,0
2,2,2.47649395795484,mlat,0
3,2,2.576306122214591,pml,0
4,2,1.709089543936799,BM_mean,0
5,2,1.871845396869874,BM_mode,0
6,2,5.364741716345726,pmlat,1
7,2,2.523848037483079,lin,1
8,2,2.5259678915892145,mlat,1
9,2,2.5301281994611586,pml,1
10,2,2.2116532146222627,BM_mean,1
11,2,2.4851501628928134,BM_mode,1
12,2,3.9760929224699924,pmlat,2
13,2,0.899988340848991,lin,2
14,2,0.9211435982117765,mlat,2
15,2,0.9638672767528572,pml,2
16,2,0.7823880647245237,BM_mean,2
17,2,0.7979889979910638,BM_mode,2
18,2,4.2382927346019885,pmlat,3
19,2,0.5991978907892315,lin,3
20,2,0.6087084674344815,mlat,3
21,2,0.6315919995040261,pml,3
22,2,0.722178607054063,BM_mean,3
23,2,0.8900362546160622,BM_mode,3
24,2,6.479710247533422,pmlat,4
25,2,3.5809380299331566,lin,4
26,2,3.7301200083770514,mlat,4
27,2,4.0201107161767675,pml,4
28,2,2.23019659809277,BM_mean,4
29,2,2.746642184063593,BM_mode,4
30,2,4.749118410294951,pmlat,5
31,2,4.161951161647193,lin,5
32,2,3.8019463394670585,mlat,5
33,2,3.3257608742805127,pml,5
34,2,2.756285592816038,BM_mean,5
35,2,2.742702369107747,BM_mode,5
36,2,5.518446910889284,pmlat,6
37,2,1.0292133644055483,lin,6
38,2,1.1688156886702292,mlat,6
39,2,1.5535524253243906,pml,6
40,2,0.7299814749418981,BM_mean,6
41,2,1.0427666111769949,BM_mode,6
42,2,5.562890059099968,pmlat,7
43,2,4.612344751694746,lin,7
44,2,4.061137133619955,mlat,7
45,2,3.4462879621183733,pml,7
46,2,1.8559280940439438,BM_mean,7
47,2,2.405282820054009,BM_mode,7
48,2,4.297316620882306,pmlat,8
49,2,1.188844650612886,lin,8
50,2,1.1886732473084167,mlat,8
51,2,1.1883096932066113,pml,8
52,2,1.6208937157019694,BM_mean,8
53,2,1.4065306672497522,BM_mode,8
54,2,4.792201188768932,pmlat,9
55,2,0.5368298346609934,lin,9
56,2,0.5738401991323578,mlat,9
57,2,0.6501832224789525,pml,9
58,2,1.3738257346018659,BM_mean,9
59,2,0.7908371876402822,BM_mode,9
60,2,3.695771185169377,pmlat,10
61,2,0.8731922429639138,lin,10
62,2,0.8704244341394354,mlat,10
63,2,0.8651837233369949,pml,10
64,2,0.9626921097198401,BM_mean,10
65,2,1.0570057820965733,BM_mode,10
66,2,4.961721655468575,pmlat,11
67,2,0.7723988298049398,lin,11
68,2,0.8134697255229658,mlat,11
69,2,0.9205895909924247,pml,11
70,2,1.026499839447453,BM_mean,11
71,2,0.7956996868530558,BM_mode,11
72,2,3.632696271340903,pmlat,12
73,2,1.8691876672878611,lin,12
74,2,1.9400726139228082,mlat,12
75,2,2.0648172912282643,pml,12
76,2,0.737127128261443,BM_mean,12
77,2,0.8783968288624371,BM_mode,12
78,2,2.161978162829794,pmlat,13
79,2,1.193306840969117,lin,13
80,2,1.1944171613313717,mlat,13
81,2,1.1972076445444522,pml,13
82,2,1.2348833010951947,BM_mean,13
83,2,1.405984776599556,BM_mode,13
84,2,4.304558628525087,pmlat,14
85,2,2.462478283190917,lin,14
86,2,2.2321801795264964,mlat,14
87,2,1.9462153782748368,pml,14
88,2,0.8632501378645396,BM_mean,14
89,2,0.9903767961332999,BM_mode,14
90,2,2.251673002409839,pmlat,15
91,2,1.5453194283751555,lin,15
92,2,1.542587065921424,mlat,15
93,2,1.5365900122226412,pml,15
94,2,1.6224086725800122,BM_mean,15
95,2,1.3500613789868092,BM_mode,15
96,2,1.1883586896136518,pmlat,16
97,2,1.9604879892279463,lin,16
98,2,1.9148469503131407,mlat,16
99,2,1.8242889906239153,pml,16
100,2,1.0921582257945481,BM_mean,16
101,2,1.2267674648834652,BM_mode,16
102,2,1.0035570614049554,pmlat,17
103,2,1.35524862780572,lin,17
104,2,1.3152927491527235,mlat,17
105,2,1.2639084641692366,pml,17
106,2,1.2407601456113746,BM_mean,17
107,2,1.2159624642905447,BM_mode,17
108,2,3.604297414582526,pmlat,18
109,2,0.8636112932075155,lin,18
110,2,0.8873974460230827,mlat,18
111,2,0.9334436577726519,pml,18
112,2,0.2978388476978204,BM_mean,18
113,2,0.3990982017180793,BM_mode,18
114,2,6.001939089502208,pmlat,19
115,2,2.9278866946701694,lin,19
116,2,3.1448204817822716,mlat,19
117,2,3.3407246455904755,pml,19
118,2,0.8837669110186407,BM_mean,19
119,2,1.0271793646864653,BM_mode,19
120,2,3.884134661841753,pmlat,20
121,2,0.6340455634489827,lin,20
122,2,0.6377543060411394,mlat,20
123,2,0.6443116469400512,pml,20
124,2,0.6607199398439302,BM_mean,20
125,2,0.5787308733902217,BM_mode,20
126,2,3.1007066146866222,pmlat,21
127,2,3.550941494066232,lin,21
128,2,3.516498918136258,mlat,21
129,2,3.449640709857312,pml,21
130,2,3.1125135419338297,BM_mean,21
131,2,3.258924103550858,BM_mode,21
132,2,1.594967955635387,pmlat,22
133,2,2.4171194583244566,lin,22
134,2,2.3597049742797354,mlat,22
135,2,2.251689527602151,pml,22
136,2,1.7332551235755933,BM_mean,22
137,2,1.899744507691159,BM_mode,22
138,2,2.5180051584178553,pmlat,23
139,2,1.3286836909943636,lin,23
140,2,1.2698325209047152,mlat,23
141,2,1.1391883815134658,pml,23
142,2,0.9943083790022897,BM_mean,23
143,2,0.9381637133306482,BM_mode,23
144,2,2.6722394251636787,pmlat,24
145,2,0.7710650540650872,lin,24
146,2,0.7628824784153279,mlat,24
147,2,0.7460144183840375,pml,24
148,2,0.5572086368016357,BM_mean,24
149,2,0.3851654033592326,BM_mode,24
150,2,3.58006609747553,pmlat,25
151,2,2.307490113601524,lin,25
152,2,1.995281264061659,mlat,25
153,2,1.6874831631124678,pml,25
154,2,1.6624415215629649,BM_mean,25
155,2,1.4484881104780798,BM_mode,25
156,2,1.557600241496908,pmlat,26
157,2,3.649807192361406,lin,26
158,2,3.515426579205217,mlat,26
159,2,3.3602599711581456,pml,26
160,2,1.7377254359966707,BM_mean,26
161,2,2.132305747470217,BM_mode,26
162,2,4.744684951182218,pmlat,27
163,2,6.479031981533061,lin,27
164,2,3.295502417561754,mlat,27
165,2,3.5230147471729407,pml,27
166,2,2.0454289036694684,BM_mean,27
167,2,2.312033825047916,BM_mode,27
168,2,4.553956422085857,pmlat,28
169,2,2.2427386640620113,lin,28
170,2,2.27272040045431,mlat,28
171,2,2.331773405360717,pml,28
172,2,1.0510624320498896,BM_mean,28
173,2,1.6387877350563813,BM_mode,28
174,2,2.213163805453886,pmlat,29
175,2,2.9511469493400084,lin,29
176,2,2.9727551677209063,mlat,29
177,2,3.014411078443197,pml,29
178,2,2.54940566203393,BM_mean,29
179,2,2.669521527381337,BM_mode,29
180,3,3.3098663479897716,pmlat,0
181,3,1.5852590854464053,lin,0
182,3,1.5778468789172149,mlat,0
183,3,1.5680316842126623,pml,0
184,3,1.623936729832475,BM_mean,0
185,3,1.8227001323736634,BM_mode,0
186,3,2.466299990294491,pmlat,1
187,3,13.233960373770008,lin,1
188,3,5.819262811728308,mlat,1
189,3,10.416388555665785,pml,1
