,noise_level,likelihood,method,run
0,2,0.19534152797653984,MAPMLAT,0
1,2,0.20733966052100325,MAPMLAT,1
2,2,0.2116630736215577,MAPMLAT,2
3,2,0.1939210198962643,MAPMLAT,3
4,2,0.20392314013183077,MAPMLAT,4
5,2,0.19081297874071432,MAPMLAT,5
6,2,0.19284256044537978,MAPMLAT,6
7,2,0.1973979082756021,MAPMLAT,7
8,2,0.20245016600190568,MAPMLAT,8
9,2,0.2058255319574842,MAPMLAT,9
10,2,0.19654197119757477,MAPMLAT,10
11,2,0.19921797129832808,MAPMLAT,11
12,2,0.1942076756949918,MAPMLAT,12
13,2,0.20291183822026365,MAPMLAT,13
14,2,0.20874264125595718,MAPMLAT,14
15,2,0.19680454616194007,MAPMLAT,15
16,2,0.1963785702683674,MAPMLAT,16
17,2,0.19668377516277213,MAPMLAT,17
18,2,0.2012587292902162,MAPMLAT,18
19,2,0.19716909600534846,MAPMLAT,19
20,2,0.19833546412847722,MAPMLAT,20
21,2,0.19871449301752364,MAPMLAT,21
22,2,0.20951706430056038,MAPMLAT,22
23,2,0.198642835965641,MAPMLAT,23
24,2,0.2009083966692169,MAPMLAT,24
25,2,0.19888036391827718,MAPMLAT,25
26,2,0.2003661963383205,MAPMLAT,26
27,2,0.1912397971114042,MAPMLAT,27
28,2,0.19931388664308833,MAPMLAT,28
29,2,0.20464561003366874,MAPMLAT,29
30,3,0.08665654532594645,MAPMLAT,0
31,3,0.08797898322912243,MAPMLAT,1
32,3,0.09308559818924546,MAPMLAT,2
33,3,0.08388073544697956,MAPMLAT,3
34,3,0.08450733531556383,MAPMLAT,4
35,3,0.0884975350077772,MAPMLAT,5
36,3,0.08760178736393562,MAPMLAT,6
37,3,0.08653648385701164,MAPMLAT,7
38,3,0.09172656256060163,MAPMLAT,8
39,3,0.08844905075204548,MAPMLAT,9
40,3,0.08733112832845352,MAPMLAT,10
41,3,0.09150899619942188,MAPMLAT,11
42,3,0.08635738439879487,MAPMLAT,12
43,3,0.09065317463950608,MAPMLAT,13
44,3,0.08970283659664652,MAPMLAT,14
45,3,0.09407406325851261,MAPMLAT,15
46,3,0.09225842444541497,MAPMLAT,16
47,3,0.08673715771532944,MAPMLAT,17
48,3,0.09006448836254191,MAPMLAT,18
49,3,0.08634418207003791,MAPMLAT,19
50,3,0.08541499912311774,MAPMLAT,20
51,3,0.089883925423589,MAPMLAT,21
52,3,0.09057248991653834,MAPMLAT,22
53,3,0.09024771455283088,MAPMLAT,23
54,3,0.08987631556371493,MAPMLAT,24
55,3,0.08933471775634284,MAPMLAT,25
56,3,0.09018884081021117,MAPMLAT,26
57,3,0.09276405126774447,MAPMLAT,27
