,noise_level,likelihood,method,run
0,2,0.19018792949175928,MAPMLAT,0
1,2,0.19667634001739717,MAPMLAT,1
2,2,0.2000881798966443,MAPMLAT,2
3,2,0.19761331021706965,MAPMLAT,3
4,2,0.19738490017178228,MAPMLAT,4
5,2,0.18254009669668378,MAPMLAT,5
6,2,0.19402127281343473,MAPMLAT,6
7,2,0.19464763810385508,MAPMLAT,7
8,2,0.19202925359928832,MAPMLAT,8
9,2,0.1998546489396642,MAPMLAT,9
10,2,0.19263413347834302,MAPMLAT,10
11,2,0.1912031677308523,MAPMLAT,11
12,2,0.20048874824258822,MAPMLAT,12
13,2,0.1971709476674435,MAPMLAT,13
14,2,0.198945279928089,MAPMLAT,14
15,2,0.20038435857533596,MAPMLAT,15
16,2,0.19591099581650936,MAPMLAT,16
17,2,0.18891578200195144,MAPMLAT,17
18,2,0.207806826465724,MAPMLAT,18
19,2,0.19446521806350617,MAPMLAT,19
20,2,0.19505903550338596,MAPMLAT,20
21,2,0.18184653961341546,MAPMLAT,21
22,2,0.19181785280001884,MAPMLAT,22
23,2,0.19714167876010652,MAPMLAT,23
24,2,0.20051329459758932,MAPMLAT,24
25,2,0.2132636633573983,MAPMLAT,25
26,2,0.20866865373979243,MAPMLAT,26
27,2,0.20309221724783866,MAPMLAT,27
28,2,0.1931355645752229,MAPMLAT,28
29,2,0.18985472894793196,MAPMLAT,29
30,3,0.08352465886430599,MAPMLAT,0
31,3,0.09038671216414679,MAPMLAT,1
32,3,0.09157758875827401,MAPMLAT,2
33,3,0.08792952297787779,MAPMLAT,3
34,3,0.08067374251787435,MAPMLAT,4
35,3,0.08475669978015671,MAPMLAT,5
36,3,0.08759925245657173,MAPMLAT,6
37,3,0.08907746025985193,MAPMLAT,7
38,3,0.08491687907554377,MAPMLAT,8
39,3,0.08268647023038325,MAPMLAT,9
40,3,0.08636523716769241,MAPMLAT,10
41,3,0.08731546921072636,MAPMLAT,11
42,3,0.08529302630791667,MAPMLAT,12
43,3,0.08251674047200575,MAPMLAT,13
44,3,0.08370516664508654,MAPMLAT,14
