,noise_level,likelihood,method,run
0,2,0.007911820945376192,MAPMLAT,0
1,2,0.00903092715828485,MAPMLAT,1
2,2,0.006755316542106908,MAPMLAT,2
3,2,0.008085517073716042,MAPMLAT,3
4,2,0.010375837004578774,MAPMLAT,4
5,2,0.009366068737013861,MAPMLAT,5
6,2,0.009171119890374103,MAPMLAT,6
7,2,0.0079055878197553,MAPMLAT,7
8,2,0.007769412105268973,MAPMLAT,8
9,2,0.009504154448005956,MAPMLAT,9
10,2,0.007609684537249969,MAPMLAT,10
11,2,0.008597128116232046,MAPMLAT,11
12,2,0.008399886794963137,MAPMLAT,12
13,2,0.00751730987287627,MAPMLAT,13
14,2,0.008158021917539629,MAPMLAT,14
15,2,0.007798972785215292,MAPMLAT,15
16,2,0.0090848198033947,MAPMLAT,16
17,2,0.008521043585832038,MAPMLAT,17
18,2,0.009306658802963212,MAPMLAT,18
19,2,0.009074802096381706,MAPMLAT,19
20,2,0.00782201672549668,MAPMLAT,20
21,2,0.008529391750566145,MAPMLAT,21
22,2,0.008409063336738166,MAPMLAT,22
23,2,0.008585579890466443,MAPMLAT,23
24,2,0.00941943892530666,MAPMLAT,24
25,2,0.00696078746073114,MAPMLAT,25
26,2,0.008341407341663628,MAPMLAT,26
27,2,0.009022468008548066,MAPMLAT,27
28,2,0.007880895595275291,MAPMLAT,28
29,2,0.009581323633388568,MAPMLAT,29
30,3,0.012516699602726633,MAPMLAT,0
31,3,0.011473382233926882,MAPMLAT,1
32,3,0.013222169866615355,MAPMLAT,2
33,3,0.012177512798098353,MAPMLAT,3
34,3,0.013355429122211757,MAPMLAT,4
35,3,0.01260111064174319,MAPMLAT,5
36,3,0.01287928947336424,MAPMLAT,6
37,3,0.012029813803286347,MAPMLAT,7
38,3,0.013249232969725138,MAPMLAT,8
39,3,0.01247764605912223,MAPMLAT,9
40,3,0.011925877987292223,MAPMLAT,10
41,3,0.012338806739011405,MAPMLAT,11
42,3,0.01284490018321867,MAPMLAT,12
43,3,0.011674697263619922,MAPMLAT,13
44,3,0.012161694581283657,MAPMLAT,14
45,3,0.011339441488603469,MAPMLAT,15
46,3,0.013134767535054211,MAPMLAT,16
47,3,0.012980840847751954,MAPMLAT,17
48,3,0.012995355540343588,MAPMLAT,18
49,3,0.011943911004795369,MAPMLAT,19
50,3,0.012266506182991618,MAPMLAT,20
51,3,0.012737427720693521,MAPMLAT,21
52,3,0.012788638691413133,MAPMLAT,22
53,3,0.012234802568374632,MAPMLAT,23
54,3,0.011137471475771068,MAPMLAT,24
55,3,0.012176061378904058,MAPMLAT,25
56,3,0.012197287693402833,MAPMLAT,26
57,3,0.012543438751411682,MAPMLAT,27
58,3,0.012789566318196631,MAPMLAT,28
59,3,0.013130021442233882,MAPMLAT,29
60,4,0.011637130278804449,MAPMLAT,0
61,4,0.011948285668772806,MAPMLAT,1
62,4,0.010979542615685537,MAPMLAT,2
63,4,0.0123597495616519,MAPMLAT,3
64,4,0.01156937681064802,MAPMLAT,4
65,4,0.012072283061983652,MAPMLAT,5
66,4,0.012034961578404986,MAPMLAT,6
67,4,0.011471396183095731,MAPMLAT,7
68,4,0.01179937103989573,MAPMLAT,8
69,4,0.011694894498528051,MAPMLAT,9
70,4,0.012644751726216241,MAPMLAT,10
71,4,0.011708740293163631,MAPMLAT,11
72,4,0.011976834009186952,MAPMLAT,12
73,4,0.012975221538469304,MAPMLAT,13
74,4,0.011691466861853971,MAPMLAT,14
75,4,0.011404422372169978,MAPMLAT,15
76,4,0.01091878128130951,MAPMLAT,16
77,4,0.01154796431381952,MAPMLAT,17
78,4,0.012311082998773589,MAPMLAT,18
79,4,0.011874697878334025,MAPMLAT,19
80,4,0.011785614437093158,MAPMLAT,20
81,4,0.011836388396016032,MAPMLAT,21
82,4,0.011288301100813126,MAPMLAT,22
83,4,0.011867302775126022,MAPMLAT,23
84,4,0.011787756957859209,MAPMLAT,24
85,4,0.010877710921516442,MAPMLAT,25
86,4,0.01185327933080398,MAPMLAT,26
87,4,0.012807895358482264,MAPMLAT,27
88,4,0.012559223279339771,MAPMLAT,28
89,4,0.011912024481671682,MAPMLAT,29
90,5,0.009910834993310483,MAPMLAT,0
91,5,0.009973207718716057,MAPMLAT,1
92,5,0.009394549890747582,MAPMLAT,2
93,5,0.010206427624532178,MAPMLAT,3
94,5,0.009590311486935923,MAPMLAT,4
95,5,0.010217588589297001,MAPMLAT,5
96,5,0.010247067988651486,MAPMLAT,6
97,5,0.010265282473029663,MAPMLAT,7
98,5,0.010556901484100984,MAPMLAT,8
99,5,0.010426439167609674,MAPMLAT,9
100,5,0.01069973730963017,MAPMLAT,10
101,5,0.010645568413942725,MAPMLAT,11
102,5,0.010214820528466088,MAPMLAT,12
103,5,0.009587206948048578,MAPMLAT,13
104,5,0.010840483422782245,MAPMLAT,14
105,5,0.010152139564898086,MAPMLAT,15
106,5,0.010669311323955618,MAPMLAT,16
