,noise_level,likelihood,method,run
0,2,0.11163740313490353,MAPMLAT,0
1,2,0.11682691987335146,MAPMLAT,1
2,2,0.11911974519917524,MAPMLAT,2
3,2,0.11831005350037145,MAPMLAT,3
4,2,0.10839179760617891,MAPMLAT,4
5,2,0.11774200585417074,MAPMLAT,5
6,2,0.1169666135137559,MAPMLAT,6
7,2,0.11721297017425596,MAPMLAT,7
8,2,0.11763884004492672,MAPMLAT,8
9,2,0.10885593251703765,MAPMLAT,9
10,2,0.11620327021840765,MAPMLAT,10
11,2,0.11888388910664092,MAPMLAT,11
12,2,0.11700007540670776,MAPMLAT,12
13,2,0.10918800368277394,MAPMLAT,13
14,2,0.11984676254798408,MAPMLAT,14
15,2,0.11037481356943478,MAPMLAT,15
16,2,0.11849650237580707,MAPMLAT,16
17,2,0.1217687797464893,MAPMLAT,17
18,2,0.12470601810059168,MAPMLAT,18
19,2,0.11565322600674091,MAPMLAT,19
20,2,0.11670516052200268,MAPMLAT,20
21,2,0.11719973522993972,MAPMLAT,21
22,2,0.12497047684008496,MAPMLAT,22
23,2,0.11463379107124311,MAPMLAT,23
24,2,0.11982710961394594,MAPMLAT,24
25,2,0.11135355439980289,MAPMLAT,25
26,2,0.11655231311676957,MAPMLAT,26
27,2,0.11924840375628293,MAPMLAT,27
28,2,0.1117483679268956,MAPMLAT,28
29,2,0.1185142798414224,MAPMLAT,29
30,3,0.054754585233833176,MAPMLAT,0
31,3,0.05299654913698799,MAPMLAT,1
32,3,0.05820916613962109,MAPMLAT,2
33,3,0.053272626818511526,MAPMLAT,3
34,3,0.055095486063625077,MAPMLAT,4
35,3,0.05379231090664359,MAPMLAT,5
36,3,0.05856812797743462,MAPMLAT,6
37,3,0.05285904947733388,MAPMLAT,7
38,3,0.056525311860685074,MAPMLAT,8
39,3,0.05558402035477748,MAPMLAT,9
40,3,0.05298454946292049,MAPMLAT,10
41,3,0.05672151938990607,MAPMLAT,11
42,3,0.0582073567654086,MAPMLAT,12
43,3,0.05216250381442205,MAPMLAT,13
44,3,0.05427094749884107,MAPMLAT,14
45,3,0.05641032896729851,MAPMLAT,15
46,3,0.05547282735978668,MAPMLAT,16
47,3,0.0580552881443872,MAPMLAT,17
48,3,0.05624346379956264,MAPMLAT,18
49,3,0.054882419611020236,MAPMLAT,19
50,3,0.05558727614746491,MAPMLAT,20
51,3,0.05504917507119193,MAPMLAT,21
52,3,0.05569736449470713,MAPMLAT,22
53,3,0.051393340707422776,MAPMLAT,23
54,3,0.056683671555074096,MAPMLAT,24
55,3,0.05502987437552531,MAPMLAT,25
56,3,0.0541986052553512,MAPMLAT,26
57,3,0.05587398308845726,MAPMLAT,27
58,3,0.05759800667807767,MAPMLAT,28
59,3,0.05426116079513352,MAPMLAT,29
60,4,0.031132151385848263,MAPMLAT,0
61,4,0.03258406240074024,MAPMLAT,1
62,4,0.030906026466025614,MAPMLAT,2
63,4,0.03328786842277073,MAPMLAT,3
64,4,0.033950993611388154,MAPMLAT,4
65,4,0.030753027913335708,MAPMLAT,5
66,4,0.03010069838854172,MAPMLAT,6
67,4,0.03117090520475127,MAPMLAT,7
68,4,0.03260055685420116,MAPMLAT,8
69,4,0.03218390185531187,MAPMLAT,9
70,4,0.03259182839424592,MAPMLAT,10
71,4,0.032981978623402936,MAPMLAT,11
72,4,0.034027386671006264,MAPMLAT,12
73,4,0.03121822176034523,MAPMLAT,13
74,4,0.03362141729225844,MAPMLAT,14
75,4,0.032354526367165834,MAPMLAT,15
76,4,0.03443370174088397,MAPMLAT,16
77,4,0.03164501649619097,MAPMLAT,17
78,4,0.032752072351802684,MAPMLAT,18
79,4,0.031387499618640693,MAPMLAT,19
80,4,0.03305535406053975,MAPMLAT,20
81,4,0.03300591806358532,MAPMLAT,21
82,4,0.031377454005602164,MAPMLAT,22
83,4,0.031758359875874206,MAPMLAT,23
84,4,0.03238646168645107,MAPMLAT,24
85,4,0.03209482826173918,MAPMLAT,25
86,4,0.032068747182628574,MAPMLAT,26
87,4,0.031268799928181976,MAPMLAT,27
88,4,0.03267939950417135,MAPMLAT,28
89,4,0.03203434144207627,MAPMLAT,29
90,5,0.020527987736223094,MAPMLAT,0
91,5,0.020307971879431497,MAPMLAT,1
92,5,0.0211115810533826,MAPMLAT,2
93,5,0.020639362898529807,MAPMLAT,3
94,5,0.020678080122102448,MAPMLAT,4
95,5,0.02109834821901924,MAPMLAT,5
96,5,0.021656655736084638,MAPMLAT,6
97,5,0.02151201231801515,MAPMLAT,7
98,5,0.02053225078976494,MAPMLAT,8
99,5,0.020611006531316717,MAPMLAT,9
100,5,0.02181090715218124,MAPMLAT,10
101,5,0.02157423765224097,MAPMLAT,11
102,5,0.02018554452546735,MAPMLAT,12
103,5,0.019721218297988043,MAPMLAT,13
104,5,0.020094352216305723,MAPMLAT,14
105,5,0.020892222625793683,MAPMLAT,15
106,5,0.021046047648475754,MAPMLAT,16
107,5,0.020662036778345494,MAPMLAT,17
108,5,0.019822890613486844,MAPMLAT,18
109,5,0.02052409269077758,MAPMLAT,19
110,5,0.0203464315652564,MAPMLAT,20
111,5,0.019898725635049887,MAPMLAT,21
112,5,0.021316504167925392,MAPMLAT,22
113,5,0.02005084389687065,MAPMLAT,23
114,5,0.0220015862094618,MAPMLAT,24
115,5,0.019765571513003725,MAPMLAT,25
116,5,0.02065303408535478,MAPMLAT,26
117,5,0.019689751986541222,MAPMLAT,27
118,5,0.020549546528119474,MAPMLAT,28
119,5,0.020654136857970296,MAPMLAT,29
120,6,0.014576198375780877,MAPMLAT,0
121,6,0.01470583808286598,MAPMLAT,1
122,6,0.015160709698507321,MAPMLAT,2
123,6,0.014893969709778946,MAPMLAT,3
124,6,0.014950266546924386,MAPMLAT,4
125,6,0.014083484267309038,MAPMLAT,5
126,6,0.01434536374931152,MAPMLAT,6
127,6,0.01427406626333522,MAPMLAT,7
128,6,0.015247158785970879,MAPMLAT,8
129,6,0.01506341948941186,MAPMLAT,9
130,6,0.014100449827672265,MAPMLAT,10
131,6,0.014519184975604428,MAPMLAT,11
132,6,0.014978934046261029,MAPMLAT,12
133,6,0.013874960103666118,MAPMLAT,13
134,6,0.014691690821258941,MAPMLAT,14
135,6,0.014538466190043604,MAPMLAT,15
136,6,0.015404727768248189,MAPMLAT,16
137,6,0.01500178209810756,MAPMLAT,17
138,6,0.014175779712082257,MAPMLAT,18
139,6,0.01413221578882617,MAPMLAT,19
140,6,0.013377536380336029,MAPMLAT,20
141,6,0.014254830958178,MAPMLAT,21
142,6,0.014572268860844317,MAPMLAT,22
143,6,0.015140206878086006,MAPMLAT,23
144,6,0.014168053872699933,MAPMLAT,24
145,6,0.015101577943761232,MAPMLAT,25
146,6,0.014881986507551109,MAPMLAT,26
147,6,0.014196065942410819,MAPMLAT,27
148,6,0.014684193807620975,MAPMLAT,28
149,6,0.014108372683454237,MAPMLAT,29
150,7,0.010548452243018551,MAPMLAT,0
151,7,0.010851291219079868,MAPMLAT,1
152,7,0.0111319891682444,MAPMLAT,2
153,7,0.010030983512360687,MAPMLAT,3
154,7,0.010614622200596736,MAPMLAT,4
155,7,0.010918457841263014,MAPMLAT,5
156,7,0.010827500392626555,MAPMLAT,6
157,7,0.011377555003174554,MAPMLAT,7
158,7,0.01071113912694097,MAPMLAT,8
159,7,0.011287790181582184,MAPMLAT,9
160,7,0.011475866025775015,MAPMLAT,10
161,7,0.01128504488949435,MAPMLAT,11
162,7,0.011178462844199084,MAPMLAT,12
163,7,0.010975786013964112,MAPMLAT,13
164,7,0.011011894120192519,MAPMLAT,14
165,7,0.011244088961109735,MAPMLAT,15
166,7,0.010673493846452841,MAPMLAT,16
167,7,0.010530263904700552,MAPMLAT,17
168,7,0.011074556506099687,MAPMLAT,18
169,7,0.010893693075228725,MAPMLAT,19
170,7,0.011128193097756568,MAPMLAT,20
171,7,0.01121781506800462,MAPMLAT,21
172,7,0.010671333643325683,MAPMLAT,22
173,7,0.01007069773083963,MAPMLAT,23
174,7,0.01062988221421242,MAPMLAT,24
175,7,0.010523596108056518,MAPMLAT,25
176,7,0.010676899155680368,MAPMLAT,26
177,7,0.01063387796365936,MAPMLAT,27
178,7,0.010827810107212872,MAPMLAT,28
179,7,0.01008767413585042,MAPMLAT,29
180,8,0.008359319835213597,MAPMLAT,0
181,8,0.008325080287692417,MAPMLAT,1
182,8,0.008423130409606764,MAPMLAT,2
183,8,0.008857593149701588,MAPMLAT,3
184,8,0.00824383059512091,MAPMLAT,4
185,8,0.008391801995247392,MAPMLAT,5
186,8,0.008049904171673661,MAPMLAT,6
187,8,0.008385213510250438,MAPMLAT,7
188,8,0.008017532809682983,MAPMLAT,8
189,8,0.008708250534950703,MAPMLAT,9
190,8,0.008361998558152393,MAPMLAT,10
191,8,0.0077479437010433356,MAPMLAT,11
192,8,0.008061744925365079,MAPMLAT,12
193,8,0.00808867737584537,MAPMLAT,13
194,8,0.008178469308944149,MAPMLAT,14
195,8,0.008304456885832054,MAPMLAT,15
196,8,0.00833356174379286,MAPMLAT,16
197,8,0.008815035959185924,MAPMLAT,17
198,8,0.008337347002278086,MAPMLAT,18
199,8,0.00818727113950655,MAPMLAT,19
200,8,0.008523424772729863,MAPMLAT,20
201,8,0.008180826830941764,MAPMLAT,21
202,8,0.008423066513793324,MAPMLAT,22
203,8,0.008668827500861585,MAPMLAT,23
204,8,0.008320999952735946,MAPMLAT,24
205,8,0.008197172881301566,MAPMLAT,25
206,8,0.008289018208784938,MAPMLAT,26
207,8,0.00831942518566699,MAPMLAT,27
208,8,0.008284123850305384,MAPMLAT,28
209,8,0.008536223003065795,MAPMLAT,29
210,9,0.006568891400389336,MAPMLAT,0
211,9,0.00663715517011477,MAPMLAT,1
212,9,0.006829596888884856,MAPMLAT,2
213,9,0.006750874293445349,MAPMLAT,3
214,9,0.00646699165664523,MAPMLAT,4
215,9,0.006936517482795332,MAPMLAT,5
216,9,0.006881212525445797,MAPMLAT,6
217,9,0.006447291329190711,MAPMLAT,7
218,9,0.006574584731442807,MAPMLAT,8
219,9,0.006494806561825031,MAPMLAT,9
220,9,0.006471831191005417,MAPMLAT,10
221,9,0.006792497626503803,MAPMLAT,11
222,9,0.006753996226683109,MAPMLAT,12
