,noise_level,likelihood,method,run
0,2,4.794528435838388e-05,MAPMLAT,0
1,2,4.5666561790273006e-05,MAPMLAT,1
2,2,2.9414219163522572e-05,MAPMLAT,2
3,2,4.1654437286660866e-05,MAPMLAT,3
4,2,3.7613117665776476e-05,MAPMLAT,4
5,2,5.355132165752943e-05,MAPMLAT,5
6,2,4.719498118701629e-05,MAPMLAT,6
7,2,4.817877564996565e-05,MAPMLAT,7
8,2,5.6269657327721415e-05,MAPMLAT,8
9,2,7.863874183768999e-05,MAPMLAT,9
10,2,3.592753619578871e-05,MAPMLAT,10
11,2,4.971147982474333e-05,MAPMLAT,11
12,2,4.941983453402397e-05,MAPMLAT,12
13,2,5.031556908366407e-05,MAPMLAT,13
14,2,6.003918934032272e-05,MAPMLAT,14
15,2,6.449711506730114e-05,MAPMLAT,15
16,2,3.202650117050674e-05,MAPMLAT,16
17,2,5.592321424836993e-05,MAPMLAT,17
18,2,5.84923802627506e-05,MAPMLAT,18
19,2,5.155700117836958e-05,MAPMLAT,19
20,2,5.295551083453485e-05,MAPMLAT,20
21,2,2.6960368687547214e-05,MAPMLAT,21
22,2,4.414878753159373e-05,MAPMLAT,22
23,2,3.4351591295125124e-05,MAPMLAT,23
24,2,5.053921708212498e-05,MAPMLAT,24
25,2,2.8587723704051984e-05,MAPMLAT,25
26,2,3.492221525319523e-05,MAPMLAT,26
27,2,3.377014939214486e-05,MAPMLAT,27
28,2,5.78606340048795e-05,MAPMLAT,28
29,2,5.8468664086852664e-05,MAPMLAT,29
30,3,0.0008984745637737345,MAPMLAT,0
31,3,0.00094849565643125,MAPMLAT,1
32,3,0.0009414855374479152,MAPMLAT,2
33,3,0.0008243919185643793,MAPMLAT,3
34,3,0.0011343518067728747,MAPMLAT,4
35,3,0.0009188486968548712,MAPMLAT,5
36,3,0.0009339161542935578,MAPMLAT,6
37,3,0.0010212816305553325,MAPMLAT,7
38,3,0.0008870149969571508,MAPMLAT,8
39,3,0.0008769787426404154,MAPMLAT,9
40,3,0.0008693450425576917,MAPMLAT,10
41,3,0.0010968041745130581,MAPMLAT,11
42,3,0.0012916757475385484,MAPMLAT,12
43,3,0.0011153423963707872,MAPMLAT,13
44,3,0.0009148185829371874,MAPMLAT,14
45,3,0.0009415802966171763,MAPMLAT,15
46,3,0.0010934869501432198,MAPMLAT,16
47,3,0.0012444636362721612,MAPMLAT,17
48,3,0.0010349739955635823,MAPMLAT,18
49,3,0.0010206599169814644,MAPMLAT,19
50,3,0.0009988359363453296,MAPMLAT,20
51,3,0.0010209297590928728,MAPMLAT,21
52,3,0.0008326438542920207,MAPMLAT,22
53,3,0.0008746090603675584,MAPMLAT,23
54,3,0.0010717029344931848,MAPMLAT,24
55,3,0.0008687857763623578,MAPMLAT,25
56,3,0.0008439358423014011,MAPMLAT,26
57,3,0.0011481752583694816,MAPMLAT,27
58,3,0.0010621856637261264,MAPMLAT,28
59,3,0.001152467343894694,MAPMLAT,29
60,4,0.0023688170141740596,MAPMLAT,0
61,4,0.0018471902813323002,MAPMLAT,1
62,4,0.0026531094082649755,MAPMLAT,2
63,4,0.0025774106528301415,MAPMLAT,3
64,4,0.002645644280668649,MAPMLAT,4
65,4,0.0020573746233539993,MAPMLAT,5
66,4,0.0022847096529478874,MAPMLAT,6
67,4,0.0025292997188266983,MAPMLAT,7
68,4,0.0023898767575755517,MAPMLAT,8
69,4,0.0024640108411969693,MAPMLAT,9
70,4,0.0021041389340832614,MAPMLAT,10
71,4,0.0022868170072993838,MAPMLAT,11
72,4,0.0023125470530334447,MAPMLAT,12
73,4,0.0021708640218349997,MAPMLAT,13
74,4,0.0022868883158823784,MAPMLAT,14
75,4,0.0023860401989957564,MAPMLAT,15
76,4,0.002275400447685227,MAPMLAT,16
77,4,0.002025927452431698,MAPMLAT,17
78,4,0.002460412825330628,MAPMLAT,18
79,4,0.002065075278749221,MAPMLAT,19
80,4,0.001996433095605507,MAPMLAT,20
81,4,0.002471659720768092,MAPMLAT,21
82,4,0.0023431576013865133,MAPMLAT,22
83,4,0.002395943288366577,MAPMLAT,23
84,4,0.002199802856318726,MAPMLAT,24
85,4,0.002279991405666958,MAPMLAT,25
86,4,0.002676108994030784,MAPMLAT,26
87,4,0.0018072383498953703,MAPMLAT,27
88,4,0.0025008469495129836,MAPMLAT,28
89,4,0.0018584677034185323,MAPMLAT,29
90,5,0.0028418490397528265,MAPMLAT,0
91,5,0.0029398801220184637,MAPMLAT,1
92,5,0.002766719543766377,MAPMLAT,2
93,5,0.002946732535727214,MAPMLAT,3
94,5,0.0027641578921036914,MAPMLAT,4
95,5,0.003037735988871984,MAPMLAT,5
96,5,0.0030414564764105747,MAPMLAT,6
97,5,0.002632999402402014,MAPMLAT,7
98,5,0.002599129056899151,MAPMLAT,8
99,5,0.0030562673048948356,MAPMLAT,9
100,5,0.002688146975822794,MAPMLAT,10
101,5,0.002903464773084988,MAPMLAT,11
102,5,0.0026974315375367527,MAPMLAT,12
103,5,0.0032051945061123796,MAPMLAT,13
104,5,0.0028673843106307812,MAPMLAT,14
105,5,0.0030274611954612986,MAPMLAT,15
106,5,0.003007593927211361,MAPMLAT,16
107,5,0.0030134330506669292,MAPMLAT,17
108,5,0.0030198989420705405,MAPMLAT,18
109,5,0.0028786303006712965,MAPMLAT,19
110,5,0.0030671445848865727,MAPMLAT,20
111,5,0.0030588248243592076,MAPMLAT,21
112,5,0.0028689807978689724,MAPMLAT,22
113,5,0.0029020594704164343,MAPMLAT,23
114,5,0.0026681699637381927,MAPMLAT,24
115,5,0.0028324296641126256,MAPMLAT,25
116,5,0.002901972730286262,MAPMLAT,26
117,5,0.0026560383815261196,MAPMLAT,27
118,5,0.002623133357040122,MAPMLAT,28
119,5,0.003143427468018209,MAPMLAT,29
120,6,0.003064863858036116,MAPMLAT,0
121,6,0.003039496853984161,MAPMLAT,1
122,6,0.0030670560129442354,MAPMLAT,2
123,6,0.002905955043017701,MAPMLAT,3
124,6,0.0029286238393632924,MAPMLAT,4
125,6,0.003070317017405297,MAPMLAT,5
126,6,0.003198503072353891,MAPMLAT,6
127,6,0.00305034811370244,MAPMLAT,7
128,6,0.003080758081777559,MAPMLAT,8
129,6,0.003074049274317114,MAPMLAT,9
130,6,0.0033014858522422584,MAPMLAT,10
131,6,0.0030118921002328827,MAPMLAT,11
132,6,0.002797445893478186,MAPMLAT,12
133,6,0.003116898704901626,MAPMLAT,13
134,6,0.003022278507936187,MAPMLAT,14
135,6,0.003057760990226259,MAPMLAT,15
136,6,0.003049822021801661,MAPMLAT,16
137,6,0.0030245014001529756,MAPMLAT,17
138,6,0.0032480152853346014,MAPMLAT,18
139,6,0.0028789137653694842,MAPMLAT,19
140,6,0.003011555517198314,MAPMLAT,20
141,6,0.0029072652231040335,MAPMLAT,21
142,6,0.003231366666004082,MAPMLAT,22
143,6,0.0029140478228667447,MAPMLAT,23
144,6,0.003400437650066937,MAPMLAT,24
145,6,0.003201489071366393,MAPMLAT,25
146,6,0.0031330357003062225,MAPMLAT,26
147,6,0.003108219457682628,MAPMLAT,27
148,6,0.0029519160302483556,MAPMLAT,28
149,6,0.0030679274369439435,MAPMLAT,29
150,7,0.002934200700424236,MAPMLAT,0
151,7,0.0031062280431063574,MAPMLAT,1
152,7,0.0029286041350242925,MAPMLAT,2
153,7,0.002886046537663813,MAPMLAT,3
154,7,0.0028665863377899782,MAPMLAT,4
155,7,0.0028860610241340907,MAPMLAT,5
156,7,0.003020825606747952,MAPMLAT,6
157,7,0.0029842248879572673,MAPMLAT,7
158,7,0.003345751090809524,MAPMLAT,8
159,7,0.003058741419603769,MAPMLAT,9
160,7,0.0030296082523530213,MAPMLAT,10
161,7,0.0029763020596141735,MAPMLAT,11
162,7,0.0031611162048451815,MAPMLAT,12
163,7,0.0031669208127670678,MAPMLAT,13
164,7,0.003030291281406044,MAPMLAT,14
165,7,0.00314141299486907,MAPMLAT,15
