,noise_level,likelihood,method,run
0,2,0.20018065367342439,MAPMLAT,0
1,2,0.20063255307036668,MAPMLAT,1
2,2,0.2002032877314449,MAPMLAT,2
3,2,0.20594499451500492,MAPMLAT,3
4,2,0.19709012179245988,MAPMLAT,4
5,2,0.1996532942648546,MAPMLAT,5
6,2,0.19536436664627033,MAPMLAT,6
7,2,0.1884003297926313,MAPMLAT,7
8,2,0.1981106778362374,MAPMLAT,8
9,2,0.1989785654615015,MAPMLAT,9
10,2,0.2102027179375327,MAPMLAT,10
11,2,0.20185985475907858,MAPMLAT,11
12,2,0.1968222538040487,MAPMLAT,12
13,2,0.2128075740724692,MAPMLAT,13
14,2,0.20374996677645052,MAPMLAT,14
15,2,0.1903395765550561,MAPMLAT,15
16,2,0.1958065352573577,MAPMLAT,16
17,2,0.19591849424893393,MAPMLAT,17
18,2,0.1990608442515995,MAPMLAT,18
19,2,0.19346996553108758,MAPMLAT,19
20,2,0.2011780440963862,MAPMLAT,20
21,2,0.19452537371445497,MAPMLAT,21
22,2,0.18157511833330492,MAPMLAT,22
23,2,0.20198011752304992,MAPMLAT,23
24,2,0.20186014658647475,MAPMLAT,24
25,2,0.2088979839929216,MAPMLAT,25
26,2,0.2053593814928605,MAPMLAT,26
27,2,0.1938188352609422,MAPMLAT,27
28,2,0.19140752912608935,MAPMLAT,28
29,2,0.20531420019410568,MAPMLAT,29
30,3,0.08884932798508806,MAPMLAT,0
31,3,0.0840354575565626,MAPMLAT,1
32,3,0.0886160465368937,MAPMLAT,2
33,3,0.0900274360059846,MAPMLAT,3
34,3,0.09073692788323412,MAPMLAT,4
35,3,0.093971528597701,MAPMLAT,5
36,3,0.0898961615621699,MAPMLAT,6
37,3,0.08880449898238478,MAPMLAT,7
38,3,0.08848116729842237,MAPMLAT,8
39,3,0.08816443034763288,MAPMLAT,9
40,3,0.08762189866184654,MAPMLAT,10
41,3,0.09038114006706326,MAPMLAT,11
42,3,0.08991242817547726,MAPMLAT,12
43,3,0.08697338267888821,MAPMLAT,13
44,3,0.08709913371317993,MAPMLAT,14
45,3,0.08338056484171859,MAPMLAT,15
46,3,0.0852998244279214,MAPMLAT,16
47,3,0.09360340109294485,MAPMLAT,17
48,3,0.08471620835992649,MAPMLAT,18
49,3,0.09001329125008041,MAPMLAT,19
50,3,0.08881189438495297,MAPMLAT,20
51,3,0.08836253820102245,MAPMLAT,21
52,3,0.08618640902189928,MAPMLAT,22
53,3,0.08812861548299146,MAPMLAT,23
54,3,0.08856689270150489,MAPMLAT,24
55,3,0.09065077933261423,MAPMLAT,25
56,3,0.08913517988142068,MAPMLAT,26
57,3,0.08828558467400374,MAPMLAT,27
58,3,0.09084694721752348,MAPMLAT,28
59,3,0.09068769559123814,MAPMLAT,29
60,4,0.04710667628982884,MAPMLAT,0
61,4,0.04726870140830669,MAPMLAT,1
62,4,0.04688226233263546,MAPMLAT,2
63,4,0.05218893629555481,MAPMLAT,3
64,4,0.05240515661185593,MAPMLAT,4
65,4,0.05175463671012967,MAPMLAT,5
66,4,0.050218994817385766,MAPMLAT,6
67,4,0.05135392753442042,MAPMLAT,7
68,4,0.04753011703675044,MAPMLAT,8
69,4,0.04803706848766439,MAPMLAT,9
70,4,0.049289336839250415,MAPMLAT,10
71,4,0.04951072859075205,MAPMLAT,11
