,noise_level,likelihood,method,run
0,2,0.2001806536734243,pmlat,0
1,2,0.20063255307036668,pmlat,1
2,2,0.2002032877314449,pmlat,2
3,2,0.20594499451500498,pmlat,3
4,2,0.19709012179245988,pmlat,4
5,2,0.19965329426485462,pmlat,5
6,2,0.19536436664627027,pmlat,6
7,2,0.18840032979263124,pmlat,7
8,2,0.19811067783623745,pmlat,8
9,2,0.19897856546150144,pmlat,9
10,2,0.2102027179375327,pmlat,10
11,2,0.2018598547590786,pmlat,11
12,2,0.19682225380404866,pmlat,12
13,2,0.2128075740724692,pmlat,13
14,2,0.20374996677645063,pmlat,14
15,2,0.19033957655505607,pmlat,15
16,2,0.1958065352573577,pmlat,16
17,2,0.19591849424893387,pmlat,17
18,2,0.19906084425159945,pmlat,18
19,2,0.19346996553108756,pmlat,19
20,2,0.2011780440963863,pmlat,20
21,2,0.19452537371445497,pmlat,21
22,2,0.18157511833330495,pmlat,22
23,2,0.20198011752304992,pmlat,23
24,2,0.20186014658647472,pmlat,24
25,2,0.2088979839929215,pmlat,25
26,2,0.20535938149286045,pmlat,26
27,2,0.19381883526094226,pmlat,27
28,2,0.19140752912608935,pmlat,28
29,2,0.20531420019410568,pmlat,29
30,3,0.08884932798508806,pmlat,0
31,3,0.08403545755656257,pmlat,1
32,3,0.08861604653689374,pmlat,2
33,3,0.0900274360059846,pmlat,3
34,3,0.09073692788323412,pmlat,4
35,3,0.09397152859770104,pmlat,5
36,3,0.0898961615621699,pmlat,6
37,3,0.08880449898238478,pmlat,7
38,3,0.08848116729842237,pmlat,8
39,3,0.08816443034763288,pmlat,9
40,3,0.08762189866184658,pmlat,10
41,3,0.09038114006706326,pmlat,11
42,3,0.08991242817547726,pmlat,12
43,3,0.08697338267888821,pmlat,13
44,3,0.08709913371317995,pmlat,14
45,3,0.08338056484171859,pmlat,15
46,3,0.0852998244279214,pmlat,16
47,3,0.09360340109294485,pmlat,17
48,3,0.08471620835992649,pmlat,18
49,3,0.09001329125008041,pmlat,19
50,3,0.08881189438495302,pmlat,20
51,3,0.08836253820102245,pmlat,21
52,3,0.08618640902189928,pmlat,22
53,3,0.08812861548299146,pmlat,23
54,3,0.08856689270150489,pmlat,24
55,3,0.09065077933261423,pmlat,25
56,3,0.08913517988142068,pmlat,26
